MBps,bytes,category,channels,checksum,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
4.02063,1179648,permutation,3,17732227400304912518,O(N log N),768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,279.807,1,poor,stages__real_kodim09__rep1,chaotic_sort,512
54.427,1179648,permutation,3,3645676288890957880,O(N) sequential,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,20.6699,1,poor,stages__real_kodim09__rep1,random_walk,512
170.094,1179648,permutation,3,13772090593618804988,O(N),768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,6.61399,1,good,stages__real_kodim09__rep1,arnold_cat_map,512
69.1549,1179648,permutation,3,5447983649324109152,O(N),768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,16.2678,1,excellent,stages__real_kodim09__rep1,affine_modular,512
58.5429,1179648,permutation,3,16209723409994574520,O(rN),768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,19.2167,1,excellent,stages__real_kodim09__rep1,feistel_index,512
443.604,1179648,permutation,3,9604794022314094370,O(N),768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,2.53605,1,excellent,stages__real_kodim09__rep1,block_permutation,512
203.793,1179648,permutation,3,10149607160123676180,O(rN),768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,5.52032,1,excellent,stages__real_kodim09__rep1,checkerboard_swaps,512
232.721,1179648,diffusion,3,15895051817169582719,sequential,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,4.83412,1,poor,stages__real_kodim09__rep1,global_chain,512
298.443,1179648,diffusion,3,15287822454098124067,block-level,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,3.76956,1,good,stages__real_kodim09__rep1,block_local_chain,512
285.852,1179648,diffusion,3,3772437932187803099,reduced,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,3.93561,1,medium,stages__real_kodim09__rep1,parallel_prefix,512
178.426,1179648,diffusion,3,12521411859675737178,none per round,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,6.30512,1,high,stages__real_kodim09__rep1,stencil_diffusion,512
415.795,1179648,diffusion,3,8670378885940623191,none,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,2.70566,1,excellent,stages__real_kodim09__rep1,arx_block_diffusion,512
261.511,1179648,diffusion,3,16891951334315362474,none,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,4.30192,1,excellent,stages__real_kodim09__rep1,bitplane_diffusion,512
360.53,1179648,diffusion,3,15895051817169582719,associative scan,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,3.12041,1,excellent,stages__real_kodim09__rep1,prefix_xor_avx2,512
269.647,1179648,diffusion,3,2749962168881704396,associative scan,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,4.17213,1,excellent,stages__real_kodim09__rep1,reverse_prefix_xor_avx2,512
426.289,1179648,diffusion,3,9351458728326834335,lane-local,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,2.63905,1,excellent,stages__real_kodim09__rep1,multilane_chain_avx2,512
452.033,1179648,diffusion,3,8054240108413813589,logarithmic,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,2.48876,1,excellent,stages__real_kodim09__rep1,tree_xor_avx2,512
158.324,1179648,diffusion,3,15319109480803155849,multi-pass associative,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,7.10569,1,excellent,stages__real_kodim09__rep1,prefix_tree_reverse,512
210.307,1179648,diffusion,3,13813054306776049,prefix sum mod 256,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,5.34932,1,medium-high,stages__real_kodim09__rep1,arx_prefix_mod256,512
160.22,1179648,keystream,3,16352428071501016112,slow,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,7.02161,1,baseline,stages__real_kodim10__rep1,logistic_double,512
23.1908,1179648,keystream,3,3229335138050633222,very slow,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,48.5107,1,bad baseline,stages__real_kodim10__rep1,sine_map,512
129.017,1179648,keystream,3,547275334597606753,high,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,8.7198,1,useful,stages__real_kodim10__rep1,fixed_point_tent,512
