chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
36934.4,logistic_xor,0.00826362,-0.0505787,0.00942696,1,7.97784,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.3863,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
36857.8,logistic_permute_xor,0.00102667,-0.00146675,0.00023572,0.00748867,7.97792,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.5928,0.999998,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
37219.3,arnold_xor,0.00818451,-0.0463902,0.00896256,0.173505,7.9777,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.3863,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
36987.5,tiled_arnold_xor,0.00690533,-0.0430889,0.00836594,0.0346027,7.97783,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.3863,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
265.218,tent_block_xor,-0.000348833,-0.00153671,-0.000982128,1,7.99984,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.6234,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
26580.4,sine_xor,0.058111,0.0954661,0.0679094,1,7.9839,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.3009,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
34257.5,coupled_lattice_xor,0.153107,0.126366,0.16105,1,7.97919,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.4091,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
20943.3,hamiltonian_lattice_xor,0.00209846,-0.0236226,0.0049188,1,7.98742,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.5316,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
270.857,chaotic_seed_blake3_xor,-0.000361081,-0.00070828,-0.00219423,1,7.99983,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.608,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
245.158,aes_ctr,0.0011253,0.00133756,-0.00189588,1,7.99985,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.6112,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
259.934,chacha20,0.00247216,-0.000208415,0.00086192,1,7.99984,images/datasets/real/kodak/kodim19.png,real_kodim19,,99.6203,1,full,8.47711e-05,1,full__real_kodim19__rep1,3.32435e-07
84351.5,logistic_xor,0.0146056,-0.0747729,0.0206115,1,7.95908,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.3863,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
84916.6,logistic_permute_xor,0.00272297,0.0112136,0.00115147,0.145006,7.9588,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.5694,0.999998,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
84642.1,arnold_xor,0.0140849,-0.0732684,0.0201842,0.34378,7.95901,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.3863,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
84566.5,tiled_arnold_xor,0.0150645,-0.0723661,0.0186867,0.344263,7.95903,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.3863,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
398.109,tent_block_xor,0.000447086,-0.008479,-0.00191935,1,7.99975,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.6234,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
144732,sine_xor,0.235406,0.255264,0.236741,1,7.93135,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.3009,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
77518.5,coupled_lattice_xor,0.448725,0.441414,0.451403,1,7.95501,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.4091,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
31660.8,hamiltonian_lattice_xor,0.00569084,-0.0156239,0.00802785,1,7.98165,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.5316,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
240.641,chaotic_seed_blake3_xor,0.00109659,-0.000365334,0.00192231,1,7.99985,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.608,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
305.369,aes_ctr,-0.00255808,0.0010211,-5.13218e-05,1,7.99981,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.6112,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
260.879,chacha20,0.00246851,-0.000114982,-3.53251e-05,1,7.99984,images/datasets/real/kodak/kodim20.png,real_kodim20,,99.6203,1,full,8.47711e-05,1,full__real_kodim20__rep1,3.32435e-07
55287.7,logistic_xor,0.00898918,-0.0396172,0.00952938,1,7.96736,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.3863,1,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
55407.2,logistic_permute_xor,0.00116671,0.0118612,-0.000318253,0.0115314,7.96722,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.5936,0.999998,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
55524,arnold_xor,0.00676034,-0.0379526,0.0069673,0.177465,7.96719,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.3863,1,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
55703.2,tiled_arnold_xor,0.0102667,-0.0325412,0.0085552,0.0589676,7.96709,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.3863,1,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
307.424,tent_block_xor,-0.00221982,0.000707501,0.000318402,1,7.99981,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.6234,1,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
28853.1,sine_xor,0.0497791,0.0136997,0.0523634,1,7.98303,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.3009,1,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
10322.5,coupled_lattice_xor,0.123834,0.0926914,0.126884,1,7.99365,images/datasets/real/kodak/kodim21.png,real_kodim21,,99.4091,1,full,8.47711e-05,1,full__real_kodim21__rep1,3.32435e-07
