MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
849.777,786432,3,aes_256_gcm,1,synthetic_control,0.428632,48.565575627928894,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,2,full__gradient_512x512__rep2,0.882584,openssl_evp_aead,512
655.545,786432,3,chacha20_poly1305,1,synthetic_control,0.696004,60.8347245409015,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,2,full__gradient_512x512__rep2,1.14409,openssl_evp_aead,512
127.159,786432,3,logistic_xor,1,synthetic_control,1.30123,22.061738211941755,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,3.40734,57.769835524140696,full,0.000931,0.015784663952812163,3,full__gradient_512x512__rep3,5.89813,scalar_avx2,512
14.451,786432,3,logistic_permute_xor,1,synthetic_control,1.08763,2.0956383177552085,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.67202,5.148430530426958,full,47.2137,90.97104607541084,3,full__gradient_512x512__rep3,51.8997,scalar_avx2,512
103.313,786432,3,arnold_xor,1,synthetic_control,0.270658,3.7283181257163007,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.70318,37.23634620470775,full,3.92783,54.10591884862911,3,full__gradient_512x512__rep3,7.25952,scalar_avx2,512
78.9756,786432,3,tiled_arnold_xor,1,synthetic_control,1.28517,13.532948634248045,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.71105,28.54758545163532,full,4.49762,47.36031842975381,3,full__gradient_512x512__rep3,9.4966,scalar_avx2,512
79.442,786432,3,tent_block_xor,1,synthetic_control,1.27845,13.541668873386534,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,7.32748,77.61453935340636,full,0.00053,0.005613895344280076,3,full__gradient_512x512__rep3,9.44086,scalar_avx2,512
23.0639,786432,3,sine_xor,1,synthetic_control,0.585018,1.7990423853645485,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,31.6687,97.38731729518454,full,0.000578,0.0017774606913645544,3,full__gradient_512x512__rep3,32.5183,scalar_avx2,512
67.5844,786432,3,coupled_lattice_xor,1,synthetic_control,0.436069,3.929540785062898,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,10.2789,92.62606783693184,full,0.000983,0.008858090329092022,3,full__gradient_512x512__rep3,11.0972,scalar_avx2,512
11.4679,786432,3,hamiltonian_lattice_xor,1,synthetic_control,0.554516,0.8478850885093095,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,64.5314,98.67201631806776,full,0.000574,0.0008776771829926345,3,full__gradient_512x512__rep3,65.3999,scalar_avx2,512
308.635,786432,3,chaotic_seed_blake3_xor,1,synthetic_control,0.335762,13.817081953046234,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.80931,74.45566963642723,full,0.000774,0.03185119647743873,3,full__gradient_512x512__rep3,2.43005,scalar_avx2,512
172.971,786432,3,aes_ctr,1,synthetic_control,4.05076,93.42180217205299,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,3,full__gradient_512x512__rep3,4.33599,openssl_evp,512
