chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
242.715,hamiltonian_lattice_xor,0.00124899,-0.00121144,-0.000680958,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.5381,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
253.345,chaotic_seed_mix_xor,0.0012723,-0.00015308,0.000826591,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6114,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
223.568,aes_ctr,-0.00162011,0.000539371,0.000803192,1,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6154,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
238.041,chacha20,0.00102835,-8.78987e-05,0.00217584,1,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6113,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
290.68,logistic_xor,-0.00101182,-0.000542191,0.0013074,1,7.99993,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
259.853,logistic_permute_xor,-0.00179752,0.000160888,-0.00080184,0.00387287,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6137,0.999999,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
262.457,arnold_xor,-0.00104509,-3.78812e-05,0.000559983,0.00393454,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
253.039,tiled_arnold_xor,-0.000530182,-0.000595309,-0.000569255,0.00487264,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
242.949,tent_block_xor,8.18217e-05,4.96963e-05,-0.000288345,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6171,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
251.934,sine_xor,0.00128987,-0.000411268,-0.00100322,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.3037,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
273.651,coupled_lattice_xor,0.000707348,-0.000756515,-9.84084e-05,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4116,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
242.715,hamiltonian_lattice_xor,0.00124899,-0.00121144,-0.000680958,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.5381,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
253.345,chaotic_seed_mix_xor,0.0012723,-0.00015308,0.000826591,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6114,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
223.568,aes_ctr,-0.00162011,0.000539371,0.000803192,1,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6154,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
238.041,chacha20,0.00102835,-8.78987e-05,0.00217584,1,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6113,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
290.68,logistic_xor,-0.00101182,-0.000542191,0.0013074,1,7.99993,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
259.853,logistic_permute_xor,-0.00179752,0.000160888,-0.00080184,0.00387287,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6137,0.999999,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
262.457,arnold_xor,-0.00104509,-3.78812e-05,0.000559983,0.00393454,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
253.039,tiled_arnold_xor,-0.000530182,-0.000595309,-0.000569255,0.00487264,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
242.949,tent_block_xor,8.18217e-05,4.96963e-05,-0.000288345,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6171,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
251.934,sine_xor,0.00128987,-0.000411268,-0.00100322,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.3037,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
273.651,coupled_lattice_xor,0.000707348,-0.000756515,-9.84084e-05,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4116,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
242.715,hamiltonian_lattice_xor,0.00124899,-0.00121144,-0.000680958,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.5381,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
253.345,chaotic_seed_mix_xor,0.0012723,-0.00015308,0.000826591,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6114,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
