MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
184.261,3145728,3,11798513561408184321,multilane_tree,6.13774,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,7.06982,cellular_automata,candidates,checkerboard_swaps,3.06945,1,candidates__noise_1024x1024__rep1,Checkerboard-CA-MultilaneTree,16.2813,1024
84.1006,3145728,3,10154352750714544857,arx_block,3.48985,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,7.17114,cellular_automata,candidates,feistel_index,25.0067,2,candidates__noise_1024x1024__rep2,CA-Feistel-ARX,35.6716,1024
39.7769,3145728,3,13601539085058861984,stencil,12.819,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,40.1932,cml,candidates,feistel_index,22.4056,2,candidates__noise_1024x1024__rep2,CML-Feistel-Stencil,75.4207,1024
9.95678,3145728,3,15938992241700151227,stencil,12.0671,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,265.042,hamiltonian,candidates,block_feistel,24.1889,2,candidates__noise_1024x1024__rep2,Hamiltonian-Block-Stencil,301.302,1024
32.6413,3145728,3,5015192422145357007,bitplane,6.5244,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,44.3377,cml,candidates,affine_bitplane,41.0362,2,candidates__noise_1024x1024__rep2,Affine-CML-Bitplane,91.9081,1024
216.138,3145728,3,12703809576107580757,arx_block,3.70235,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,7.04508,cellular_automata,candidates,checkerboard_swaps,3.12729,2,candidates__noise_1024x1024__rep2,Checkerboard-CA-ARX,13.88,1024
45.2952,3145728,3,6769910357436157580,prefix_tree_reverse,14.9657,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.92697,cellular_automata,candidates,affine_bitplane,44.3193,2,candidates__noise_1024x1024__rep2,Affine-CA-PrefixTree,66.2321,1024
184.137,3145728,3,11798513561408184321,multilane_tree,6.46898,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,7.02926,cellular_automata,candidates,checkerboard_swaps,2.78942,2,candidates__noise_1024x1024__rep2,Checkerboard-CA-MultilaneTree,16.2922,1024
87.3355,3145728,3,10154352750714544857,arx_block,3.45572,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.7123,cellular_automata,candidates,feistel_index,24.1786,3,candidates__noise_1024x1024__rep3,CA-Feistel-ARX,34.3503,1024
36.0961,3145728,3,13601539085058861984,stencil,13.2161,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,45.5242,cml,candidates,feistel_index,24.3662,3,candidates__noise_1024x1024__rep3,CML-Feistel-Stencil,83.1115,1024
